anomaly_id	room_id	scene	node_path	type	local_z	effective_z	classification	runtime_result	proposed_l1_repair
DOOR_ROOT_OVER_ACTOR	CH3_CHAPEL_VESTIBULE	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_chapel_vestibule.tscn	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Doors/NaveDoor/DoorVisual	Sprite2D	0	14	Door	door/gate content resolves above Player z=12 as one unsplit hierarchy	split rear frame/panels/hardware/core/trim; keep large visuals behind actors
DOOR_ROOT_OVER_ACTOR	CH3_NAVE_ENTRY	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_nave_entry.tscn	/root/Chapter03Route/RoomHost/Ch3NaveEntry/Doors/ChoirDoor/DoorVisual	Sprite2D	0	14	Door	door/gate content resolves above Player z=12 as one unsplit hierarchy	split rear frame/panels/hardware/core/trim; keep large visuals behind actors
DOOR_ROOT_OVER_ACTOR	CH3_CHOIR_GALLERY	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_choir_gallery.tscn	/root/Chapter03Route/RoomHost/Ch3ChoirGallery/Doors/CheckpointDoor/DoorVisual	Sprite2D	0	14	Door	door/gate content resolves above Player z=12 as one unsplit hierarchy	split rear frame/panels/hardware/core/trim; keep large visuals behind actors
DOOR_ROOT_OVER_ACTOR	CH3_BOSS_CHECKPOINT	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_checkpoint.tscn	/root/Chapter03Route/RoomHost/Ch3BossCheckpoint/Doors/ConfessionDoor/DoorVisual	Sprite2D	0	14	Door	door/gate content resolves above Player z=12 as one unsplit hierarchy	split rear frame/panels/hardware/core/trim; keep large visuals behind actors
BACKGROUND_OVER_ACTOR	CH3_BOSS_ANTE	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_ante_room.tscn	/root/Chapter03Route/RoomHost/Ch3BossAnteRoom/BossAntechamber/CheckpointVisual	Sprite2D	14	14	PropsBehind	visible background/ground content resolves at or above Player z=12	move the visual to the matching fixed contract layer; retain collision separately
WORLD_SPACE_UI	CH3_BOSS_ANTE	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_ante_room.tscn	/root/Chapter03Route/RoomHost/Ch3BossAnteRoom/BossAntechamber/AreaTitle	Panel	14	14	UI	visible label/panel participates in world z sorting instead of a CanvasLayer	move persistent information to HUD CanvasLayer; keep intentionally world-bound prompts narrowly scoped
WORLD_SPACE_UI	CH3_BOSS_ANTE	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_ante_room.tscn	/root/Chapter03Route/RoomHost/Ch3BossAnteRoom/BossAntechamber/AreaTitle/Label	Label	0	14	UI	visible label/panel participates in world z sorting instead of a CanvasLayer	move persistent information to HUD CanvasLayer; keep intentionally world-bound prompts narrowly scoped
DOOR_ROOT_OVER_ACTOR	CH3_BOSS_ANTE	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_ante_room.tscn	/root/Chapter03Route/RoomHost/Ch3BossAnteRoom/BossGate/Visuals/GateClosed	Sprite2D	0	14	Door	door/gate content resolves above Player z=12 as one unsplit hierarchy	split rear frame/panels/hardware/core/trim; keep large visuals behind actors
DOOR_ROOT_OVER_ACTOR	CH3_BOSS_ANTE	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_ante_room.tscn	/root/Chapter03Route/RoomHost/Ch3BossAnteRoom/BossGate/Visuals/GateOpen	Sprite2D	0	14	Door	door/gate content resolves above Player z=12 as one unsplit hierarchy	split rear frame/panels/hardware/core/trim; keep large visuals behind actors
WORLD_SPACE_UI	CH3_BOSS_ANTE	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_ante_room.tscn	/root/Chapter03Route/RoomHost/Ch3BossAnteRoom/BossGate/GateName	Panel	14	14	UI	visible label/panel participates in world z sorting instead of a CanvasLayer	move persistent information to HUD CanvasLayer; keep intentionally world-bound prompts narrowly scoped
WORLD_SPACE_UI	CH3_BOSS_ANTE	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_ante_room.tscn	/root/Chapter03Route/RoomHost/Ch3BossAnteRoom/BossGate/GateName/Label	Label	0	14	UI	visible label/panel participates in world z sorting instead of a CanvasLayer	move persistent information to HUD CanvasLayer; keep intentionally world-bound prompts narrowly scoped
WORLD_SPACE_UI	CH3_BOSS	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_boss_sanctum_room.tscn	/root/Chapter03Route/RoomHost/Ch3BossSanctumRoom/BossSanctum/SanctumTitle	Label	14	14	UI	visible label/panel participates in world z sorting instead of a CanvasLayer	move persistent information to HUD CanvasLayer; keep intentionally world-bound prompts narrowly scoped
WORLD_SPACE_UI	CH3_POST_BOSS	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_post_boss_room.tscn	/root/Chapter03Route/RoomHost/Ch3PostBossRoom/PostBossReliquary/AreaTitle	Label	14	14	UI	visible label/panel participates in world z sorting instead of a CanvasLayer	move persistent information to HUD CanvasLayer; keep intentionally world-bound prompts narrowly scoped
WORLD_SPACE_UI	CH3_UNDERKEEP_DESCENT	res://chapters/chapter_03_chapel_of_thirteen_echoes/scenes/rooms/ch3_underkeep_room.tscn	/root/Chapter03Route/RoomHost/Ch3UnderkeepRoom/UnderkeepDescent/AreaTitle	Label	14	14	UI	visible label/panel participates in world z sorting instead of a CanvasLayer	move persistent information to HUD CanvasLayer; keep intentionally world-bound prompts narrowly scoped
